,lat,lon,depth,value
0,32.62762222222222,34.81644166666666,-81.18933291678148,0
1,32.65017784444444,34.77964141111111,-410.12574500872785,5
2,32.67273346666667,34.74284115555555,-553.6271350572447,10
3,32.69528908888889,34.7060409,-747.5230079404905,15
4,32.710042819444446,34.66885985555556,-821.6327790340956,20
5,32.711110590277784,34.630861019444446,-834.5289126097198,25
6,32.72987779027778,34.59362345277778,-1010.5085185900205,30
7,32.74863856805556,34.55639434166667,-1147.1690997780756,35
8,32.76736584444445,34.51923171111111,-1228.0829785672129,40
9,32.789338541666666,34.482301756944445,-1289.9806717544966,45
10,32.82148541666667,34.447117569444444,-1347.4253424343242,50
11,32.85363229166667,34.41193338194444,-1387.28801936525,55
12,32.885779166666666,34.37674919444444,-1445.2667429156409,60
13,32.91792604166667,34.34156500694444,-1495.9469750531575,65
14,32.95007291666667,34.30638081944444,-1540.6171989232037,70
15,32.982219791666665,34.27119663194444,-1571.380710367419,75
16,33.01436666666667,34.23601244444444,-1613.9061279793361,80
17,33.04651354166667,34.20082825694445,-1649.294957722423,85
18,33.07842229166667,34.16590469305555,-1684.1529446958612,90
19,33.110569166666664,34.13072050555556,-1712.1079000407942,95
20,33.14271604166667,34.09553631805556,-1745.5704782698197,100
21,33.17486291666667,34.06035213055556,-1775.8615957841432,105
22,33.20700979166667,34.02516794305556,-1802.093160871759,110
23,33.239156666666666,33.989983755555556,-1825.0506568960286,115
24,33.269542825,33.95487275833334,-1845.889030679945,120
25,33.288909713888884,33.91770024444445,-1864.8640925221168,125
26,33.30821934722222,33.88062877777778,-1881.1257077580938,130
27,33.327528980555556,33.84355731111111,-1889.026492079474,135
28,33.346838613888885,33.80648584444444,-1902.8374148839648,140
29,33.36614824722222,33.76941437777777,-1915.8207436502196,145
30,33.385457880555556,33.732342911111104,-1922.284798993098,150
31,33.404767513888885,33.69527144444444,-1944.2407602224657,155
32,33.43271916805555,33.66228587222222,-1946.4439733479853,160
33,33.51158853888889,33.65264745555555,-1997.6956663465862,165
34,33.59028044305556,33.64302350138889,-2057.4967483081473,170
35,33.63659756527778,33.611794251388886,-2096.0151926071103,175
36,33.68209742777778,33.580211838888886,-2135.103331262727,180
37,33.72759729027778,33.548629426388885,-2170.330173774624,185
38,33.77309715277778,33.51704701388889,-2183.5288319125284,190
39,33.818597015277774,33.48546460138889,-2230.5782422041893,195
40,33.864096877777776,33.45388218888889,-2246.689271622557,200
41,33.909433658333334,33.422412975,-2265.4635044027023,205
42,33.958566456944446,33.39218617777777,-2280.8555669881766,210
43,34.01074381527778,33.36310297777778,,215
44,34.06280204722222,33.33408617777778,,220
45,34.11497940555555,33.305002977777775,,225
46,34.167037637499995,33.27598617777778,,230
47,34.20183547222222,33.24203209722222,,235
48,34.231275447222224,33.20649405972222,,240
49,34.25289983194445,33.170192065277774,,245
50,34.255075,34.81644166666666,,250
