,ID,Lon,Lat,Label,Attribute,Description
58,HMN010a_S4B3_C06,15.1811693274,35.3386520777,4,,Very Soft CLAY  at 1.28 
59,HMN010a_S4B3_C07,15.1427150079,35.3400137952,4,,Very Soft CLAY  at 1.83 
60,HMN010a_S4B3_C08,15.0889636272,35.3410191129,4,,Very Soft CLAY  at 1.31 
61,HMN010a_S4B3_C09,15.0487252019,35.3417887748,4,,Silty CLAY  at 2.0 
62,HMN010a_S4B3_C11,14.9437669539,35.3387284326,4,,Silty CLAY  at 2.0 
63,HMN010a_S4B3_C12,14.916406273900002,35.3370134401,4,,Silty CLAY  at 2.0 
64,HMN010a_S4B4_C01,14.8287214428,35.3313908804,4,,Very Soft CLAY  at 1.96 
65,HMN010a_S4B3_C13,14.8725358721,35.3342250972,4,,Silty CLAY  at 2.0 
66,HMN010a_S4B4_C02,14.7848445997,35.32655321,4,,Very Soft CLAY  at 2.0 
67,HMN010a_S4B4_C03,14.738656192999999,35.3227264371,4,,Very Soft CLAY  at 1.92 
68,HMN010a_S4B4_C04,14.697629089200001,35.3246580545,4,,Very Soft CLAY  at 2.0 
69,HMN010a_S4B4_C05,14.6396956497,35.3251993211,4,,Soft Silty CLAY  at 2.0 
70,HMN010a_S4B4_C06,14.6015785888,35.3276101227,4,,Very Soft CLAY  at 2.0 
71,HMN010a_S4B4_C08,14.521816022100001,35.3311198079,4,,Very Soft CLAY  at 2.0 
72,HMN010a_S4B4_C07,14.5709491456,35.3290302316,4,,Very Soft CLAY  at 2.0 
73,HMN010a_S4B4_C09B,14.4777283533,35.3331074777,4,,Very Soft CLAY  at 2.0 
74,HMN010a_S4B4_C10,14.445056087200001,35.3345070086,4,, 
75,HMN010a_S4B4_C10A,14.4449079398,35.3346512915,4,,Very Soft CLAY  at 2.0 
76,HMN010a_S4B4_C11,14.389920032300001,35.3368361659,4,,Very Soft CLAY  at 2.0 
77,HMN010a_S4B4_C12,14.34607258,35.3385911994,4,,Very Soft CLAY  at 2.0 
78,HMN010a_S4B5_C01,14.3020497566,35.3404472779,4,,Very Soft CLAY  at 2.0 
79,HMN010a_S4B5_C02,14.259056907,35.3471821175,4,,Very Soft CLAY  at 2.0 
80,HMN010a_S4B5_C03,14.232655680299999,35.3604362606,4,,Very Soft CLAY  at 2.0 
81,HMN010a_S4B5_C04,14.1849136524,35.385793672800006,4,,Very Soft CLAY  at 2.0 
82,HMN010a_S4B5_C05,14.147581976400001,35.4048442327,4,,Very Soft CLAY  at 2.0 
83,HMN010a_S4B5_C08,14.0371490539,35.4642169421,4,,Very Soft CLAY  at 2.0 
84,HMN010a_S4B5_C07,14.0787624147,35.4420196773,4,,Very Soft CLAY  at 1.91 
85,HMN010a_S4B5_C06,14.1180763268,35.417691866300004,4,,Very Soft CLAY  at 2.0 
86,HMN010a_S4B5_C09,14.005398926199998,35.4891059638,4,,Very Soft CLAY  at 2.0 
87,HMN010a_S4B5_C10,13.9808426356,35.5191300173,4,, 
88,HMN010a_S4B5_C11,13.9686839446,35.5420211228,4,, 
89,HMN010a_S4B5_C12,13.9397878541,35.582741271799996,4,, 
90,HMN010a_S4B5_C13,13.9132093899,35.6113404093,4,, 
91,HMN010a_S4B6_C01,13.886574301,35.640107312800005,4,,Very Soft CLAY  at 1.96 
92,HMN010a_S4B6_C02,13.8633578091,35.670571166,4,,Very Soft CLAY  at 1.94 
93,HMN010a_S4B6_C03,13.8403362723,35.7001073891,4,,Very Soft CLAY  at 1.86 
94,HMN010a_S4B6_C04,13.8150099446,35.7276086923,4,,Very Soft CLAY  at 1.92 
95,HMN010a_S4B6_C05,13.7891947481,35.7587488931,4,,Very Soft CLAY  at 1.95 
96,HMN010a_S4B6_C06,13.762608282,35.7888524613,4,,Very Soft CLAY  at 1.94 
97,HMN010a_S4B6_C07,13.719537642799999,35.806071204,4,,Very Soft CLAY  at 2.0 
98,HMN010a_S4B6_C08,13.6761424514,35.8076454627,4,,Very Soft CLAY  at 2.0 
99,HMN010a_S4B6_C09,13.638940480699999,35.8238561958,4,,Very Soft CLAY  at 1.94 
100,HMN010a_S4B6_C10,13.618086981300001,35.8547696499,4,,Very Soft CLAY  at 1.94 
