Lon;Lat;Label;Annotation
14.8287208013;35.3316950288;4;HMN010a_S4B4_C01
15.4004562401;35.3322033405;4;HMN010a_S4B3_C01
14.4777263971;35.3334116131;4;HMN010a_S4B4_C09B
15.2302853511;35.3338701648;4;HMN010a_S4B3_C05
14.8725353946;35.3345292460;4;HMN010a_S4B3_C13
14.4450540084;35.3348111439;4;HMN010a_S4B4_C10
14.4449058605;35.3349554253;4;HMN010a_S4B4_C10A
14.3899177468;35.3371402981;4;HMN010a_S4B4_C11
14.9164059607;35.3373175892;4;HMN010a_S4B3_C12
14.3460701301;35.3388953289;4;HMN010a_S4B4_C12
15.1811700062;35.3389562256;4;HMN010a_S4B3_C06
14.9437667432;35.3390325818;4;HMN010a_S4B3_C11
15.1427155426;35.3403179436;4;HMN010a_S4B3_C07
14.3020471416;35.3407514046;4;HMN010a_S4B5_C01
14.9937810446;35.3410909562;4;HMN010a_S4B3_C10
15.0889639605;35.3413232618;4;HMN010a_S4B3_C08
15.0487253845;35.3420929239;4;HMN010a_S4B3_C09
14.2590541302;35.3474862409;4;HMN010a_S4B5_C02
14.2326528032;35.3607403815;4;HMN010a_S4B5_C03
14.1849105934;35.3860977889;4;HMN010a_S4B5_C04
14.1475787751;35.4051483450;4;HMN010a_S4B5_C05
14.1180730131;35.4179959755;4;HMN010a_S4B5_C06
14.0787589502;35.4423237820;4;HMN010a_S4B5_C07
14.0371454299;35.4645210421;4;HMN010a_S4B5_C08
14.0053951793;35.4894100596;4;HMN010a_S4B5_C09
13.9808387920;35.5194341078;4;HMN010a_S4B5_C010
13.9686800520;35.5423252110;4;HMN010a_S4B5_C011
13.9397838463;35.5830453551;4;HMN010a_S4B5_C012
13.9132052774;35.6116444885;4;HMN010a_S4B5_C013
13.8865700832;35.6404113893;4;HMN010a_S4B6_C01
13.8633534984;35.6708752384;4;HMN010a_S4B6_C02
13.8636777184;35.6770149316;4;HMN010c_PES_MALTA_C11
13.8403318696;35.7004114576;4;HMN010a_S4B6_C03
13.8150054412;35.7279127566;4;HMN010a_S4B6_C04
13.7891901414;35.7590529530;4;HMN010a_S4B6_C05
13.7626035689;35.7891565167;4;HMN010a_S4B6_C06
13.7195327626;35.8063752534;4;HMN010a_S4B6_C07
13.6761374055;35.8079495068;4;HMN010a_S4B6_C08
13.6389352900;35.8241602344;4;HMN010a_S4B6_C09
13.6180817051;35.8550736843;4;HMN010a_S4B6_C10
13.5939172933;35.8879074711;4;HMN010a_S4B6_C11
13.5617681601;35.9142514642;4;HMN010a_S4B6_C12
13.5319359074;35.9368694747;4;HMN010a_S5B0_C01
13.5051557472;35.9646230676;4;HMN010a_S5B0_C02
13.4756075713;35.9950737183;4;HMN010a_S5B0_C03
13.4481381018;36.0235323389;4;HMN010a_S5B0_C04
13.4206481491;36.0517418268;4;HMN010a_S5B0_C05
13.3932028958;36.0800247514;4;HMN010a_S5B0_C06
13.3669967422;36.1088994055;4;HMN010a_S5B0_C07A
13.3435566642;36.1394527917;4;HMN010a_S5B0_C08
13.3197867106;36.2081246714;4;HMN010a_S5B0_C010
13.2993536993;36.2397101153;4;HMN010a_S5B0_C011
13.2693233099;36.2663750940;4;HMN010a_S5B0_C012
13.1971662955;36.3081309110;4;HMN010a_S5B0_C014
13.1584387137;36.3260347430;4;HMN010a_S5B0_C015
13.0810761646;36.3618603236;4;HMN010a_S5B0_C017
15.9464281562;35.3105670624;5;HMN010a_S4B2_K01A
15.8399926496;35.3138582610;5;HMN010a_S4B2_K02A
15.7299955474;35.3192583756;5;HMN010a_S4B2_K03A
15.6299228213;35.3226486857;5;HMN010a_S4B2_K04A
14.7386965120;35.3231013738;5;HMN010a_S4B4_K01A
14.6315761026;35.3259538917;5;HMN010a_S4B4_K02A
15.5103014165;35.3278919553;5;HMN010a_S4B2_K05A
14.5847090864;35.3287323449;5;HMN010a_S4B4_K03A
15.4015817193;35.3314483406;5;HMN010a_S4B3_K01A
14.5216572799;35.3314996795;5;HMN010a_S4B4_K04A
15.2576783838;35.3323833018;5;HMN010a_S4B3_K02A
14.8506680337;35.3331711030;5;HMN010a_S4B3_K06A
14.4118913566;35.3361935453;5;HMN010a_S4B4_K05A
15.1812013232;35.3390527846;5;HMN010a_S4B3_K03C
15.1812029101;35.3390538012;5;HMN010a_S4B3_K03B
15.1812441835;35.3390669672;5;HMN010a_S4B3_K03A
14.3019398504;35.3408016921;5;HMN010a_S4B5_K01A
14.9895718608;35.3408874054;5;HMN010a_S4B3_K05A
15.0637625786;35.3419176253;5;HMN010a_S4B3_K04A
14.2032669433;35.3764098268;5;HMN010a_S4B5_K02A
14.1088555961;35.4227281095;5;HMN010a_S4B5_K03A
14.0200673228;35.4759931475;5;HMN010a_S4B5_K04A
13.9568169420;35.5607098453;5;HMN010a_S4B5_K05A
13.8996102057;35.6257909106;5;HMN010a_S4B6_K01A
13.8645282286;35.6766324962;5;HMN010_PES_MALTA_K04
13.8403952172;35.7005695006;5;HMN010a_S4B6_K02A
13.7764206140;35.7759736677;5;HMN010a_S4B6_K03A
13.6759989754;35.8079061309;5;HMN010a_S4B6_K04A
13.6065466056;35.8721653796;5;HMN010a_S4B6_K05A
13.5268685243;35.9424410624;5;HMN010a_S5B0_K01A
13.4019745235;36.0714365438;5;HMN010a_S5B0_K03A
13.3090745047;36.2287380621;5;HMN010a_S5B0_K05A
13.2306769399;36.2919207947;5;HMN010a_S5B0_K06A
13.1345587047;36.3373672012;5;HMN010a_S5B0_K07A
15.9654117658;35.3061564003;6;sr
15.9680693769;35.3071668643;6;sr
15.9657194332;35.3074263019;6;r
15.9724290837;35.3076715222;6;r
15.9528215464;35.3077600379;6;r
